close,date,high,interest_over_time_AU,interest_over_time_BR,interest_over_time_CA,interest_over_time_CN,interest_over_time_DE,interest_over_time_FR,interest_over_time_GB,interest_over_time_GH,interest_over_time_IN,interest_over_time_JP,interest_over_time_KE,interest_over_time_KR,interest_over_time_NG,interest_over_time_RU,interest_over_time_SG,interest_over_time_US,interest_over_time_VE,interest_over_time_ZA,low,num_retweets,num_tweets,open,tweet_exposure,volume_from,volume_to
707.65,2018-03-08 17:00:00,718.02,58.0,13.0,18.0,31.0,32.0,34.0,28.0,6.0,37.0,39.0,12.0,36.0,23.0,49.0,35.0,26.0,19.0,36.0,698.52,11000.0,10600.0,717.57,43817700.0,65516.44,46310856.81
714.26,2018-03-08 18:00:00,716.29,23.0,15.0,19.0,33.0,50.0,29.0,45.0,20.0,47.0,23.0,5.0,42.0,8.0,34.0,28.0,38.0,20.0,43.0,703.16,11000.0,10600.0,707.65,43817700.0,19158.4,13592271.66
713.71,2018-03-08 19:00:00,714.21,58.0,13.0,24.0,53.0,35.0,26.0,41.0,20.0,61.0,25.0,7.0,41.0,34.0,36.0,59.0,32.0,18.0,50.0,709.92,11000.0,10600.0,714.19,43817700.0,13759.43,9806884.51
709.49,2018-03-08 20:00:00,714.42,60.0,10.0,20.0,0.0,38.0,28.0,32.0,0.0,62.0,100.0,5.0,14.0,22.0,43.0,41.0,28.0,15.0,44.0,706.45,11000.0,10600.0,713.7,43817700.0,11083.27,7868428.58
703.1,2018-03-08 21:00:00,712.32,44.0,15.0,20.0,0.0,33.0,32.0,32.0,12.0,82.0,39.0,4.0,14.0,23.0,45.0,26.0,28.0,31.0,45.0,701.88,11000.0,10600.0,709.5,43817700.0,18709.67,13241942.76
692.5,2018-03-08 22:00:00,703.62,42.0,18.0,21.0,0.0,53.0,34.0,43.0,12.0,82.0,21.0,0.0,40.0,16.0,52.0,39.0,28.0,16.0,50.0,688.84,11000.0,10600.0,703.12,43817700.0,24350.45,16916383.8
698.83,2018-03-08 23:00:00,703.48,43.0,10.0,23.0,0.0,74.0,52.0,56.0,7.0,77.0,22.0,28.0,63.0,35.0,65.0,37.0,45.0,14.0,54.0,692.48,11000.0,10600.0,692.5,43817700.0,16267.73,11369465.95
704.27,2018-03-09 00:00:00,706.89,35.0,18.0,22.0,41.0,77.0,55.0,72.0,10.0,74.0,23.0,0.0,18.0,40.0,58.0,33.0,40.0,23.0,82.0,698.53,11000.0,10600.0,698.83,43817700.0,13676.66,9625637.66
685.15,2018-03-09 01:00:00,704.24,31.0,14.0,26.0,20.0,73.0,87.0,59.0,16.0,44.0,41.0,0.0,46.0,40.0,68.0,37.0,30.0,30.0,72.0,681.14,11000.0,10600.0,704.22,43817700.0,30007.24,20684859.43
676.73,2018-03-09 02:00:00,685.38,45.0,15.0,24.0,62.0,86.0,92.0,86.0,0.0,48.0,57.0,0.0,55.0,35.0,18.0,41.0,33.0,24.0,71.0,669.28,11000.0,10600.0,685.15,43817700.0,47671.91,32192763.23
682.83,2018-03-09 03:00:00,682.83,46.0,15.0,28.0,40.0,68.0,81.0,100.0,34.0,49.0,47.0,15.0,81.0,27.0,59.0,52.0,46.0,32.0,78.0,667.9,11000.0,10600.0,676.73,43817700.0,22200.68,14970009.42
660.84,2018-03-09 04:00:00,682.85,38.0,21.0,35.0,85.0,81.0,56.0,73.0,36.0,59.0,35.0,8.0,45.0,58.0,27.0,39.0,45.0,56.0,94.0,657.5,11000.0,10600.0,682.83,43817700.0,44202.95,29421543.01
652.21,2018-03-09 05:00:00,666.37,40.0,25.0,30.0,34.0,75.0,74.0,86.0,0.0,73.0,34.0,10.0,74.0,20.0,35.0,43.0,55.0,82.0,100.0,651.02,11000.0,10600.0,661.29,43817700.0,29900.18,19720272.43
676.59,2018-03-09 06:00:00,677.13,43.0,31.0,36.0,54.0,69.0,52.0,98.0,0.0,73.0,40.0,17.0,84.0,15.0,38.0,38.0,60.0,78.0,87.0,642.06,11000.0,10600.0,652.21,43817700.0,46119.16,30382161.77
674.78,2018-03-09 07:00:00,682.23,38.0,31.0,38.0,55.0,58.0,45.0,100.0,0.0,66.0,43.0,4.0,59.0,4.0,27.0,29.0,76.0,49.0,60.0,671.89,11000.0,10600.0,676.54,43817700.0,28553.38,19315284.93
